===== 종합 대시보드 =====
  1: 잠실/송파 재건축 투자 종합 대시보드 (2026.02 기준) |  |  |  |  |  |  |  |  | 
  3: [핵심 지표 요약] |  |  |  |  |  |  |  |  | 
  4: 지표 | 주공5 | 장미1·2 | 장미3 | 우성1·2·3 | 우성4 | 아시아 | 선수촌 | 훼밀리 | 비고
  5: 매매가(억) | 45 | 26.5 | 25 | 24 | 22 | 28 | 29 | 21.5 | 전용84m²
  6: 전세가율(%) | 27.8 | 34 | 34 | 33.3 | 34.1 | 25 | 20.7 | 25.6 | 
  7: 재건축진행률(%) | 65 | 45 | 40 | 55 | 70 | 25 | 20 | 20 | 
  8: ROI 중립(%) | -13.4 | 20.5 | 20.9 | 26.4 | 24.7 | 16.6 | 9.4 | 10.3 | 
  9: 종합점수 | 7.61 | 6.91 | 6.54 | 6.8 | 7.02 | 6.05 | 5.67 | 5.43 | 가중평균
 11: [투자자 유형별 TOP3 추천] |  |  |  |  |  |  |  |  | 
 12: 투자자 유형 | 1순위 | 2순위 | 3순위 | 추천 사유 |  |  |  |  | 
 13: 공격적(고수익추구) | 우성4차 | 올림픽선수촌 | 장미1·2차 | 빠른 사업속도+최대 용적률 상승+한강조망 프리미엄 |  |  |  |  | 
 14: 안정적(자산보전) | 잠실주공5단지 | 우성1·2·3차 | 장미1·2차 | 최고입지+확정시공사+브랜드가치 보장 |  |  |  |  | 
 15: 가성비(진입가대비) | 올림픽훼밀리 | 우성4차 | 장미3차 | 낮은 매입가 대비 높은 수익률 기대 |  |  |  |  | 
 17: [시장 환경 요약] |  |  |  |  |  |  |  |  | 
 18: 항목 | 현황 | 투자 영향 |  |  |  |  |  |  | 
 19: 기준금리 | 2.50% (2026.01 인하) | 대출이자 부담 완화, 매수심리 개선 |  |  |  |  |  |  | 
 20: 토지거래허가 | 잠실동 전체 2026.06까지 연장 | 실거주 의무, 전세 불가 → 진입장벽 |  |  |  |  |  |  | 
 21: 재건축초과이익환수(재초환) | 2026년 본격 적용 | 초과이익 최대 50% 환수, 수익률 하락 요인 |  |  |  |  |  |  | 
 22: 분양가상한제 | 과열지역 적용 지속 | 일반분양 수익 제한, 조합원 분담금 증가 가능 |  |  |  |  |  |  | 
 23: GTX-A / MICE 복합단지 | 2025말 개통 / 잠실종합운동장 개발 | 잠실권 교통·미래가치 상승 |  |  |  |  |  |  | 
 26: 단지명 | ROI 중립(%) |  |  |  |  |  |  |  | 
 27: 주공5 | -13.4 |  |  |  |  |  |  |  | 
 28: 장미1·2 | 20.5 |  |  |  |  |  |  |  | 
 29: 장미3 | 20.9 |  |  |  |  |  |  |  | 
 30: 우성1·2·3 | 26.4 |  |  |  |  |  |  |  | 
 31: 우성4 | 24.7 |  |  |  |  |  |  |  | 
 32: 아시아 | 16.6 |  |  |  |  |  |  |  | 
 33: 선수촌 | 9.4 |  |  |  |  |  |  |  | 
 34: 훼밀리 | 10.3 |  |  |  |  |  |  |  | 

===== 종합 스코어카드 =====
  1: 잠실/송파 재건축 다차원 투자 스코어카드 (8개 단지) |  |  |  |  |  |  |  |  |  | 
  3: 평가 팩터 | 가중치 | 주공5 | 장미1·2 | 장미3 | 우성1·2·3 | 우성4 | 아시아 | 선수촌 | 훼밀리 | 비고
  4: 입지 프리미엄 | 12 | 10 | 9 | 8 | 8 | 7 | 9 | 8 | 7 | 
  5: 역세권 접근성 | 8 | 10 | 8 | 7 | 7 | 7 | 8 | 7 | 8 | 
  6: 한강 조망 | 6 | 9 | 10 | 9 | 6 | 5 | 5 | 4 | 3 | 
  7: 학군 | 5 | 8 | 8 | 8 | 8 | 8 | 8 | 7 | 7 | 
  8: 생활 인프라 | 5 | 9 | 8 | 8 | 8 | 8 | 8 | 8 | 7 | 
  9: 대형 개발호재 | 8 | 10 | 8 | 8 | 7 | 7 | 9 | 8 | 6 | 
 10: 재건축 진행도 | 10 | 7 | 5 | 4 | 6 | 8 | 3 | 2 | 2 | 
 11: 시공사 신뢰도 | 7 | 10 | 5 | 5 | 8 | 7 | 4 | 4 | 4 | 
 12: 브랜드 가치 | 5 | 10 | 5 | 5 | 7 | 7 | 4 | 4 | 4 | 
 13: 단지 규모 | 4 | 10 | 8 | 7 | 7 | 4 | 8 | 10 | 9 | 
 14: 가격 매력도 | 8 | 3 | 6 | 7 | 7 | 8 | 5 | 5 | 7 | 
 15: 전세가율(갭) | 3 | 2 | 5 | 5 | 5 | 6 | 3 | 2 | 3 | 
 16: 기대 수익률 | 8 | 3 | 7 | 7 | 6 | 8 | 6 | 7 | 6 | 
 17: 유동성 | 3 | 4 | 6 | 5 | 6 | 7 | 4 | 4 | 5 | 
 18: 리스크 안정성 | 7 | 7 | 5 | 5 | 6 | 7 | 4 | 4 | 4 | 
 19: 조합 안정성 | 4 | 8 | 6 | 5 | 6 | 7 | 5 | 4 | 4 | 
 20: 정책 수혜 | 3 | 8 | 7 | 7 | 7 | 7 | 7 | 7 | 6 | 
 21: 랜드마크 잠재력 | 4 | 10 | 8 | 7 | 6 | 5 | 9 | 8 | 5 | 
 22: 임대수익 | 2 | 3 | 5 | 5 | 5 | 6 | 3 | 3 | 4 | 
 23: 보유비용 효율 | 3 | 3 | 6 | 6 | 7 | 8 | 4 | 4 | 6 | 
 25: 가중평균 종합점수 | 100% | 7.61 | 6.91 | 6.54 | 6.8 | 7.02 | 6.05 | 5.67 | 5.43 | 
 26: 투자 추천 순위 |  | 1위 | 3위 | 5위 | 4위 | 2위 | 6위 | 7위 | 8위 | 
 28: 카테고리 | 가중치 | 주공5 | 장미1·2 | 장미3 | 우성1·2·3 | 우성4 | 아시아 | 선수촌 | 훼밀리 | 
 29: 입지/환경 | 36 | 9.4 | 8.7 | 7.9 | 7.4 | 6.9 | 7.8 | 7 | 6.6 | 
 30: 재건축 사업성 | 34 | 9.1 | 6.1 | 5.6 | 6.9 | 6.9 | 5.4 | 5.1 | 4.5 | 
 31: 투자 수익성 | 24 | 3 | 6.1 | 6.3 | 6.1 | 7.5 | 4.8 | 5 | 5.7 | 
 32: 안정성/리스크 | 17 | 6.7 | 5.8 | 5.5 | 6.4 | 7.2 | 4.8 | 4.5 | 4.7 | 
 33: 미래 가치 | 4 | 10 | 8 | 7 | 6 | 5 | 9 | 8 | 5 | 
 36: 카테고리 | 주공5 | 장미1·2 | 장미3 | 우성1·2·3 | 우성4 | 아시아 | 선수촌 | 훼밀리 |  | 
 37: 입지/환경 | 9.4 | 8.7 | 7.9 | 7.4 | 6.9 | 7.8 | 7 | 6.6 |  | 
 38: 재건축 사업성 | 9.1 | 6.1 | 5.6 | 6.9 | 6.9 | 5.4 | 5.1 | 4.5 |  | 
 39: 투자 수익성 | 3 | 6.1 | 6.3 | 6.1 | 7.5 | 4.8 | 5 | 5.7 |  | 
 40: 안정성/리스크 | 6.7 | 5.8 | 5.5 | 6.4 | 7.2 | 4.8 | 4.5 | 4.7 |  | 
 41: 미래 가치 | 10 | 8 | 7 | 6 | 5 | 9 | 8 | 5 |  | 

===== 단지별 기본정보 =====
  1: 8개 재건축 단지 기본정보 비교 |  |  |  |  |  |  |  | 
  3: 항목 | 주공5 | 장미1·2 | 장미3 | 우성1·2·3 | 우성4 | 아시아 | 선수촌 | 훼밀리
  4: 준공년도 | 1978 | 1979 | 1983 | 1981 | 1982 | 1986 | 1988 | 1988
  5: 연식(년) | 48 | 47 | 43 | 45 | 44 | 40 | 38 | 38
  6: 현재 세대수 | 3930 | 2262 | 900 | 1842 | 555 | 1356 | 5540 | 4494
  7: 동 수 | 30 | 26 | 10 | 20 | 7 | 18 | 122 | 56
  8: 최고층 | 15 | 15 | 15 | 15 | 15 | 18 | 24 | 15
  9: 전용면적(m²) | 76~84 | 71~82 | 69~84 | 59~121 | 59~84 | 84~184 | 82~211 | 84~192
 10: 기존 용적률(%) | 169 | 179 | 185 | 174 | 168 | 160 | 137 | 194
 11: ── 재건축 후 ── | ───── | ───── | ───── | ───── | ───── | ───── | ───── | ─────
 12: 재건축 세대수 | 6491 | 5165 | 5165 | 2680 | 825 | 3483 | 9200 | 6620
 13: 재건축 최고층 | 70 | 50 | 50 | 49 | 49 | 75 | 49 | 26
 14: 계획 용적률(%) | 390 | 360 | 360 | 350 | 299 | 340 | 270 | 300
 15: 용적률 증가(%p) | 221 | 181 | 175 | 176 | 131 | 180 | 133 | 106
 16: 세대수 증가율 | 65% | 128% | 474% | 45% | 49% | 157% | 66% | 47%
 17: 시공사 | 삼성물산+GS+현대산업 | 미선정 | 미선정(장미통합) | GS건설 | DL이앤씨 | 미선정 | 미선정 | 미선정
 18: 브랜드 | 래미안+자이+아이파크 | 미정 | 미정 | 자이 | 아크로 | 미정 | 미정 | 미정

===== 재건축 진행현황 =====
  1: 재건축 단계별 진행현황 |  |  |  |  |  |  |  | 
  3: 항목 | 주공5 | 장미1·2 | 장미3 | 우성1·2·3 | 우성4 | 아시아 | 선수촌 | 훼밀리
  4: 단계 | 사업시행계획인가 신청 | 사업시행인가 진행중 | 장미통합 사업시행인가 진행중 | 사업시행인가 진행중 | 관리처분인가 준비중 | 추진위 승인 완료 | 추진위 승인 완료 | 추진위 승인 완료
  5: 진행률 | 65% | 45% | 40% | 55% | 70% | 25% | 20% | 20%
  6: 안전진단 | 완료(D) | 완료(D) | 완료 | 완료(D) | 완료 | 완료 | 완료(D) | 완료
  7: 정비구역 | 완료 | 완료 | 완료 | 완료 | 완료 | 추진중 | 추진중 | 추진중
  8: 조합설립 | 완료(2020.12) | 완료 | 완료 | 완료 | 완료 | 2026상반기목표 | 2026목표 | 2026하반기
  9: 사업시행인가 | 신청완료(2025) | 진행중 | 진행중(통합) | 진행중(GS건설확정) | 완료 | 미착수 | 미착수 | 미착수
 10: 관리처분 | 미착수(2026말예상) | 미착수 | 미착수 | 미착수 | 준비중(2026상반기) | 미착수 | 미착수 | 미착수
 11: 착공 | 2027년 | 2028~2029 | 2028~2029 | 2028 | 2026.09 | 2030~2031 | 2029~2030 | 2029~2030
 12: 준공 | 2030~2031 | 2031~2032 | 2031~2032 | 2031~2032 | 2029~2030 | 2033~2035 | 2033~2035 | 2033~2035
 13: 이주 | 2026말~2027초 | 2028 | 2028 | 2027~2028 | 2026하반기 | 2030 | 2029~2030 | 2029~2030
 16: 단지명 | 진행률(%) |  |  |  |  |  |  | 
 17: 주공5 | 65 |  |  |  |  |  |  | 
 18: 장미1·2 | 45 |  |  |  |  |  |  | 
 19: 장미3 | 40 |  |  |  |  |  |  | 
 20: 우성1·2·3 | 55 |  |  |  |  |  |  | 
 21: 우성4 | 70 |  |  |  |  |  |  | 
 22: 아시아 | 25 |  |  |  |  |  |  | 
 23: 선수촌 | 20 |  |  |  |  |  |  | 
 24: 훼밀리 | 20 |  |  |  |  |  |  | 

===== 시세 및 가격분석 =====
  1: 시세 및 가격 다차원 분석 (전용 84m² 기준, 억원) |  |  |  |  |  |  |  | 
  3: 항목 | 주공5 | 장미1·2 | 장미3 | 우성1·2·3 | 우성4 | 아시아 | 선수촌 | 훼밀리
  4: 현재 매매가 | 45 | 26.5 | 25 | 24 | 22 | 28 | 29 | 21.5
  5: 현재 전세가 | 12.5 | 9 | 8.5 | 8 | 7.5 | 7 | 6 | 5.5
  6: 전세가율(%) | 27.8 | 34 | 34 | 33.3 | 34.1 | 25 | 20.7 | 25.6
  7: 호가 | 47 | 28 | 26 | 26 | 24 | 32 | 32 | 23
  8: 신고가 | 45.5 | 26.5 | 25 | 25 | 22.5 | 30 | 29.3 | 22
  9: 최저가(1년) | 36 | 20 | 19 | 18 | 16.5 | 20 | 21 | 17
 10: 1년전 | 38 | 22 | 21 | 20 | 18.5 | 22 | 22 | 18
 11: 3년전 | 25 | 16 | 15.5 | 14.5 | 13 | 16 | 17 | 15
 12: 5년전 | 20 | 13 | 12 | 11 | 10 | 13 | 15 | 13
 13: ── 분석지표 ── | ───── | ───── | ───── | ───── | ───── | ───── | ───── | ─────
 14: 1년 상승률(%) | 18.4 | 20.5 | 19 | 20 | 18.9 | 27.3 | 31.8 | 19.4
 15: 3년 상승률(%) | 80 | 65.6 | 61.3 | 65.5 | 69.2 | 75 | 70.6 | 43.3
 16: 5년 상승률(%) | 125 | 103.8 | 108.3 | 118.2 | 120 | 115.4 | 93.3 | 65.4
 17: 연평균 상승률(5Y) | 17.6 | 15.3 | 15.8 | 16.9 | 17.1 | 16.6 | 14.1 | 10.6
 18: 재건축 프리미엄(억) | 15 | 6.5 | 5 | 4 | 2 | 8 | 7 | 3.5
 19: 갭(매매-전세)(억) | 32.5 | 17.5 | 16.5 | 16 | 14.5 | 21 | 23 | 16
 20: 호가-실거래 괴리(%) | 4.4 | 5.7 | 4 | 8.3 | 9.1 | 14.3 | 10.3 | 7
 23: 시점 | 주공5 | 장미1·2 | 장미3 | 우성1·2·3 | 우성4 | 아시아 | 선수촌 | 훼밀리
 24: 5년전 | 20 | 13 | 12 | 11 | 10 | 13 | 15 | 13
 25: 3년전 | 25 | 16 | 15.5 | 14.5 | 13 | 16 | 17 | 15
 26: 1년전 | 38 | 22 | 21 | 20 | 18.5 | 22 | 22 | 18
 27: 현재 | 45 | 26.5 | 25 | 24 | 22 | 28 | 29 | 21.5

===== 수익성 시뮬레이션 =====
  1: 단지별 투자 수익성 시뮬레이션 (전용 84m², 억원) |  |  |  |  |  |  |  | 
  3: 항목 | 주공5 | 장미1·2 | 장미3 | 우성1·2·3 | 우성4 | 아시아 | 선수촌 | 훼밀리
  4: ── 매입비용 ── | ───── | ───── | ───── | ───── | ───── | ───── | ───── | ─────
  5: 매입가 | 45 | 26.5 | 25 | 24 | 22 | 28 | 29 | 21.5
  6: 취득세(3%) | 1.35 | 0.8 | 0.75 | 0.72 | 0.66 | 0.84 | 0.87 | 0.65
  7: 중개수수료(0.5%) | 0.225 | 0.13 | 0.13 | 0.12 | 0.11 | 0.14 | 0.15 | 0.11
  8: 매입 총비용 | 46.58 | 27.43 | 25.88 | 24.84 | 22.77 | 28.98 | 30.02 | 22.26
  9: ── 보유비용 ── | ───── | ───── | ───── | ───── | ───── | ───── | ───── | ─────
 10: 추정 분담금 | 3.5 | 2.5 | 2.5 | 2.5 | 2 | 3 | 1.5 | 3.6
 11: 이주기간(년) | 4.5 | 4 | 4 | 4 | 3 | 5.5 | 6 | 6
 12: 전세기회비용/년 | 0.35 | 0.32 | 0.3 | 0.28 | 0.26 | 0.25 | 0.21 | 0.19
